Lunch,                       Calories, Restrictions, Macro,                 Type
Chicken Parmesan Silder,     360,      None,         Protein;Fats;Carbs,    Proteins
Roasted Cauliflower,         60,       V; Gf; H,     Fat,                   Vegetables
Zucchini And Yellow Squash,  175,      V; Gf; H,     Protein,               Proteins
Grilled Cajun Chicken,       300,      None,         Protein,               Proteins
Cheeseburger,                250,      None,         Carbs; Fats,           Proteins
Old Bay Fries,               250,      V,            Carbs,                 Proteins
Salmon Cake with Spicy Sauce,275,      H,            Protein;Fats,          Grains
Cheese Pizza,                250,      M; H,         Carbs;Fats,            Proteins
Meatballs in Sauce,          310,      None,         Protein;Fats;Carbs,    Grains
Pepperoni Pizza,             275,      P,            Protein;Fats;Carbs,    Proteins
Channa Masla,                175,      V; Gf; H,     Carbs,                 Grains
Cumin Basmati Rice,          250,      V; Gf; H,     Carbs,                 Grains
Naan Bread,                  125,      M; Hf,        Carbs,                 Proteins
Veggie Burger Patty,         250,      V; H,         Carbs; Fats,           Grains
Flax Browie With Nuts,       250,      V,            Carbs,                 Grains